scenario,tier,year,demand_node_id,province_key,pipeline_node_id,refinery_city,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct
S1,low,2040,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2040,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2045,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2050,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2055,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,low,2060,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2025,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2030,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2035,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2040,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2045,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC23,辽宁,N129,盘锦市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2050,R::RC24,青海,N072,海西蒙古族藏族自治州,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC01,上海,N116,上海市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC02,北京,N036,北京市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC03,四川,N057,成都市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC04,天津,N028,天津市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC05,宁夏,N139,银川市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC06,山东,N091,东营市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC07,山东,N089,济南市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC08,广东,N026,广州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC09,广东,N056,惠州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC10,广东,N117,茂名市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC11,新疆,N102,乌鲁木齐市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC12,江苏,N007,连云港市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC13,江西,N010,九江市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC14,河北,N084,沧州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC15,河南,N088,洛阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC16,浙江,N043,宁波市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC17,浙江,N043,舟山市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC18,湖北,N078,武汉市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC19,湖南,N002,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC20,甘肃,N018,兰州市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC21,甘肃,N033,庆阳市,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2055,R::RC22,辽宁,N129,大连市,0.0,0.0,0.0,0.0,0.0,0.0
